Model,Type,Algorithm,Decimation,Time,HausdorffDist,InitialFaces,FinalFaces
airplane_0004.obj,clean_cad,QEM,50%,0.4881574,0.00019769571372307837,33153,16575
airplane_0004.obj,clean_cad,Clustering,50%,0.0143524,0.0006534305866807699,33153,16682
airplane_0004.obj,clean_cad,QEM,90%,0.7390103,0.003025897778570652,33153,3315
airplane_0004.obj,clean_cad,Clustering,90%,0.0055358,0.005973363295197487,33153,3393
airplane_0009.obj,clean_cad,QEM,50%,0.3165486,0.0008365276153199375,24343,12165
airplane_0009.obj,clean_cad,Clustering,50%,0.0096937,0.0013334432151168585,24343,12177
airplane_0009.obj,clean_cad,QEM,90%,0.4919211,0.061966896057128906,24343,2713
airplane_0009.obj,clean_cad,Clustering,90%,0.0038316,0.013640373013913631,24343,2441
airplane_0019.obj,clean_cad,QEM,50%,0.4291197,0.00026411021826788783,30776,15376
airplane_0019.obj,clean_cad,Clustering,50%,0.0118759,0.0025520024355500937,30776,15506
airplane_0019.obj,clean_cad,QEM,90%,0.5662913,0.015628134831786156,30776,3073
airplane_0019.obj,clean_cad,Clustering,90%,0.0069332,0.020512422546744347,30776,3755
airplane_0263.obj,clean_cad,QEM,50%,0.5646536,0.0004938750062137842,41225,20594
airplane_0263.obj,clean_cad,Clustering,50%,0.0222173,0.002284287242218852,41225,20608
airplane_0263.obj,clean_cad,QEM,90%,1.1060259,0.03159169480204582,41225,5586
airplane_0263.obj,clean_cad,Clustering,90%,0.0064039,0.010636206716299057,41225,4201
airplane_0352.obj,clean_cad,QEM,50%,0.5507333,0.00030323592363856733,42070,21019
airplane_0352.obj,clean_cad,Clustering,50%,0.0271794,0.0024052222725003958,42070,21080
airplane_0352.obj,clean_cad,QEM,90%,1.138862,0.14327090978622437,42070,4552
airplane_0352.obj,clean_cad,Clustering,90%,0.0070611,0.013872690498828888,42070,4551
chair_0187.obj,clean_cad,QEM,50%,0.6462261,0.0011324265506118536,32126,16062
chair_0187.obj,clean_cad,Clustering,50%,0.0129794,0.0019561380613595247,32126,16065
chair_0187.obj,clean_cad,QEM,90%,0.8917173,0.002649114467203617,32126,3212
chair_0187.obj,clean_cad,Clustering,90%,0.0092962,0.005447438918054104,32126,6722
chair_0230.obj,clean_cad,QEM,50%,0.0684633,0.09772323817014694,38176,27064
chair_0230.obj,clean_cad,Clustering,50%,0.0155489,0.0034947015810757875,38176,19216
chair_0230.obj,clean_cad,QEM,90%,0.068362,0.09772323817014694,38176,27064
chair_0230.obj,clean_cad,Clustering,90%,0.0109406,0.008964674547314644,38176,8691
chair_0303.obj,clean_cad,QEM,50%,1.5071205,0.0004263024602551013,81870,40922
chair_0303.obj,clean_cad,Clustering,50%,0.0526979,0.001730727613903582,81870,41169
chair_0303.obj,clean_cad,QEM,90%,1.7440896,0.003619953291490674,81870,8183
chair_0303.obj,clean_cad,Clustering,90%,0.0178738,0.007359230425208807,81870,8219
chair_0590.obj,clean_cad,QEM,50%,0.3506244,0.00010019763431046158,21726,10862
chair_0590.obj,clean_cad,Clustering,50%,0.0092907,0.0005323142395354807,21726,10816
chair_0590.obj,clean_cad,QEM,90%,0.5674511,0.004289880860596895,21726,2172
chair_0590.obj,clean_cad,Clustering,90%,0.0049365,0.008034151047468185,21726,2483
chair_0632.obj,clean_cad,QEM,50%,0.9881424,3.7209117635939037e-06,47602,23800
chair_0632.obj,clean_cad,Clustering,50%,0.020902,0.0011637923307716846,47602,23920
chair_0632.obj,clean_cad,QEM,90%,1.2431328,0.0005253212875686586,47602,4760
chair_0632.obj,clean_cad,Clustering,90%,0.0118079,0.0050835879519581795,47602,4727
guitar_0010.obj,clean_cad,QEM,50%,0.6341279,0.0008951309137046337,38041,19005
guitar_0010.obj,clean_cad,Clustering,50%,0.0289696,0.0005086323362775147,38041,18935
guitar_0010.obj,clean_cad,QEM,90%,0.8703724,0.06679315119981766,38041,5468
guitar_0010.obj,clean_cad,Clustering,90%,0.0074844,0.003980056848376989,38041,3758
